product_code,product_name,product_description,material,fit_type,available_sizes,original_price(₹),discounted_price(₹),discount_percentage(%),total_ratings,avg_rating_for_five,total_text_reviews,supplier_name,product_image_url,product_link
25072090,Stormborn,Graphic Printed Oversized Drop Shoulder Sleeves Pure Cotton T-shirt,Cotton,Oversized,"S,M,L,XXL,XL",999,549,45,829,4.2,40,ELCINCO,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25072090/2023/9/30/6be97619-12fc-40c3-a91b-b5d5f13ba8181696013416163StormbornMenBlackPrintedRawEdgeT-shirt1.jpg",https://www.myntra.com/tshirts/stormborn/stormborn-graphic-printed-oversized-drop-shoulder-sleeves-pure-cotton-t-shirt/25072090/buy
25099214,ADIDAS,Men Indian Cricket ODI Fan Polo Collar Jersey,Polyester,Regular Fit,"XS,S,M,L,XXL,XL",999,799,20,1800,4.6,117,Flashstar Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25099214/2023/9/26/2749b9d6-1191-45bf-b280-2d430c3053f91695731103781-ADIDAS-Men-Indian-Cricket-ODI-Fan-Jersey-Printed-Polo-Collar-1.jpg",https://www.myntra.com/tshirts/adidas/adidas-men-indian-cricket-odi-fan-polo-collar-jersey/25099214/buy
25917006,Force NXT,Printed Pack of 2 Super Combed Cotton T-Shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",1138,796,30,not_available,not_available,not_available,DOLLAR INDUSTRIES LTD,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25917006/2023/11/17/f43fec55-e149-4198-a51d-b574863af2b51700214004896ForceNXTMenMulticoloured2T-shirt1.jpg",https://www.myntra.com/tshirts/force+nxt/force-nxt--printed-pack-of-2-super-combed-cotton-t-shirt/25917006/buy
24014326,BULLMER,Graphic Printed Round Neck Oversized Cotton T-shirt,Cotton,Oversized,"S,M,L,XXL,XL",1499,389,74,1200,3.7,68,Bodyglove Apparel India,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24014326/2023/7/14/c3bb4dd9-b557-4602-a885-f77b445645bc1689274870298BULLMERMenBlackTypographyPrintedPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/bullmer/bullmer-graphic-printed-round-neck-oversized-cotton-t-shirt/24014326/buy
13622286,Roadster,Men Green White Colourblocked Round Neck Pure Cotton T-shirt,Pure Cotton,Regular Fit,"S,M,L,XL",699,223,68,3200,4.2,174,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13622286/2021/2/18/f58cb66f-5e6e-48a5-8395-c695410628811613644559259-Roadster-Men-Green-Colourblocked-Round-Neck-T-shirt-18316136-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-green--white-colourblocked-round-neck-pure-cotton-t-shirt/13622286/buy
18239082,HERE&NOW,Men White Pure Cotton T-shirt,Pure Cotton,Regular Fit,"S,M,L,XL",599,179,70,930,3.8,61,Omnitech Retail,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18239082/2022/7/27/e8bb8557-edbd-4115-9d87-c89acb1606a31658919552237-HERENOW-Men-Tshirts-7651658919551754-1.jpg",https://www.myntra.com/tshirts/here%26now/herenow-men-white-pure-cotton-t-shirt/18239082/buy
9901805,Roadster,Men Navy Solid Round Neck T-shirt,Pure Cotton,Regular Fit,"S,M,L,XL",499,204,59,16900,4.0,1541,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9901805/2019/7/16/8139e933-b2a1-4d35-8a9f-d01cf3e1ace81563256634726-Roadster-Men-Tshirts-5541563256633223-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-navy-solid-round-neck-t-shirt/9901805/buy
24014310,BULLMER,Graphic Printed Oversized Cotton T-shirt,Cotton,Oversized,"S,M,L,XXL,XL",1499,389,74,1300,3.7,66,Bodyglove Apparel India,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24014310/2023/7/14/e0d643e5-05bc-4249-833b-0ddf80440f851689274793057BULLMERMenBeigePrintedV-NeckPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/bullmer/bullmer-graphic-printed-oversized-cotton-t-shirt/24014310/buy
25917046,Force NXT,Men Solid Pack of 2 Super Combed Cotton T-Shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",1317,790,40,not_available,not_available,not_available,DOLLAR INDUSTRIES LTD,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25917046/2023/11/17/2e863060-6194-4ea9-ba58-deace95b949c1700214037259ForceNXTMenMulticoloured3T-shirt1.jpg",https://www.myntra.com/tshirts/force+nxt/force-nxt-men-solid-pack-of-2-super-combed-cotton-t-shirt/25917046/buy
12377258,Urbano Fashion,Men Teal Green Slim Fit Tropical Printed Pure Cotton T-shirt,not_available,Slim Fit,"S,M,L,XL",1099,494,55,18900,4.0,1062,IMPERIAL ONLINE SERVICES - SJIT,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12377258/2020/9/11/ce1b7bcb-a65a-4eb0-a317-42ac02718f1e1599798741705UrbanoFashionPrintedMenRoundNeckDarkGreenT-Shirt1.jpg",https://www.myntra.com/tshirts/urbano+fashion/urbano-fashion-men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt/12377258/buy
